"","lod"
"227",2.81787136042476
"228",2.58624748438524
"229",2.58348335706978
"230",3.56100431613777
"231",4.96417898913023
"232",2.12138528909963
"233",2.88710453715612
"234",2.23636832769444
"235",3.51183706566553
"236",2.51274328073669
"237",2.18766594176122
"238",1.99503134837141
"239",3.77349121291809
"240",2.03193176174318
"241",2.01294473269445
"242",2.26841978251286
"243",2.41494039535792
"244",2.92075257447686
"245",3.00865623583741
"246",2.56001058956463
"247",1.82493036300366
"248",2.52941388731779
"249",4.20746016503108
"250",2.56132365105441
"251",2.58906856637441
"252",2.42854724286735
"253",3.23532410400003
"254",3.59995179587349
"255",3.17835265500253
"256",2.12343277450054
"257",3.0258701874609
"258",3.19843022811983
"259",2.95590585891841
"260",3.22952264868763
"261",1.87010018223737
"262",1.69850533052158
"263",3.69704961700518
"264",1.76280321599188
"265",4.0026521679938
"266",2.74166105616678
"267",2.30173515990282
"268",2.30811632759105
"269",2.10979272921941
"270",2.85948687862401
"271",2.92104440495496
"272",2.12355073838444
"273",2.44697729310974
"274",2.85695575387763
"275",2.23732048612874
"276",2.8320692826037
"277",2.03873319284685
"278",2.40530556316116
"279",3.50624887323829
"280",2.81087411504996
"281",1.98765815612205
"282",3.08251916418521
"283",2.88824511927851
"284",2.78961567681654
"285",4.31806146667077
"286",3.45778719489681
"287",3.02914266461812
"288",2.72605239989571
"289",3.25016849188978
"290",2.71569822684614
"291",2.77713995310478
"292",1.9293727614313
"293",2.50393091381375
"294",2.32504957684614
"295",3.02555851085344
"296",2.26502463745055
"297",3.38060094048706
"298",2.72087666271545
"299",5.09933567307053
"300",2.69040147492342
"301",3.19046244089441
"302",2.23660479489808
"303",2.35563353091675
"304",2.727191057651
"305",3.53634515167505
"306",2.74732392480291
"307",1.82673040722511
"308",1.94187404787044
"309",1.90467115203683
"310",2.33853014809938
"311",4.75725741614588
"312",2.11655680072545
"313",2.48158166150824
"314",1.89079512354147
"315",3.55588051175073
"316",1.99906802397891
"317",3.58817851241474
"318",2.21225109600891
"319",2.31024421623079
"320",3.46849396684411
"321",2.01316243648216
"322",2.12551834756232
"323",2.50800579320821
"324",2.61413009524586
"325",2.73655785784467
"326",3.62057009852106
"327",2.50185671914187
"328",2.70521784500124
"329",3.13395233079427
"330",2.96144833095786
"331",3.26993610036516
"332",3.70860059859478
"333",3.02599489517343
"334",3.22870279136077
"335",2.77880863306927
"336",3.53135308900346
"337",2.75094315426759
"338",2.80996226900425
"339",1.98143387051641
"340",2.64982491250339
"341",3.08892144211131
"342",2.1806886933573
"343",2.35350075735187
"344",3.53512326270902
"345",3.01483233371982
"346",2.57628144432783
"347",2.12186457677126
"348",2.94472923367539
"349",2.46257578059158
"350",1.71814022685248
"351",2.50716266220297
"352",3.28997576411894
"353",3.21403087206636
"354",2.27106933331015
"355",2.37538679729005
"356",3.89739149094021
"357",2.91332098755083
"358",2.34656963794987
"359",2.80326795272777
"360",2.26868580799601
"361",3.54892958571327
"362",2.05179571377266
"363",2.19702878723729
"364",2.48836080042565
"365",2.3653547144022
"366",2.97803721493437
"367",2.15091159734766
"368",2.22240404707372
"369",2.28748547548821
"370",2.00355106517054
"371",2.73537753632991
"372",1.90642477747133
"373",2.64753210687741
"374",3.33619431140869
"375",2.95292603089911
"376",3.54284783497678
"377",2.38366779288299
"378",2.44222454490955
"379",2.87072990223714
"380",2.69427528493543
"381",1.76623652065609
"382",3.19158753502779
"383",3.1801033974516
"384",2.88197773734464
"385",2.87360546994933
"386",3.00887215781404
"387",4.13276787161521
"388",1.42354456932844
"389",3.35984380740047
"390",2.33598826460002
"391",2.55966286340845
"392",3.21802029657374
"393",4.92309231156105
"394",3.02446735403464
"395",2.43921433537616
"396",2.60896924514782
"397",3.42631194763635
"398",2.48668204759088
"399",3.17719228721944
"400",2.7918677308644
"401",2.17698125614515
"402",3.03300349119127
"403",2.66977760448754
"404",2.20675374489292
"405",2.25530248149516
"406",2.9397823856707
"407",2.86971202425957
