,id,sex_gen_resid
317,122902,-69.60114427073859
318,54902,52.39885572926141
319,109402,-44.60114427073859
320,85702,-164.4161604736097
321,84502,96.5838395263903
322,50402,-141.6011442707386
323,119902,80.5838395263903
324,138702,144.3988557292614
325,68202,-263.6011442707386
326,80402,-381.6011442707386
327,55402,101.5838395263903
328,78202,33.58383952639031
329,78902,-98.4161604736097
330,83602,-197.6011442707386
331,79402,47.39885572926141
332,96602,220.5838395263903
333,67402,337.3988557292614
334,120202,109.5838395263903
335,70002,196.3988557292614
336,97502,127.5838395263903
337,100402,32.39885572926141
338,141602,297.5838395263903
339,102802,-29.601144270738587
340,109002,194.3988557292614
341,87002,-13.416160473609693
342,120702,-7.601144270738587
343,69102,120.5838395263903
344,46702,-151.4161604736097
345,89502,203.3988557292614
346,129002,204.3988557292614
347,60902,-10.601144270738587
348,136902,-61.60114427073859
349,109802,257.3988557292614
350,111702,-256.4161604736097
351,44302,-230.4161604736097
352,37302,10.583839526390307
353,54202,133.5838395263903
354,123602,-79.60114427073859
355,61402,-83.4161604736097
356,51402,242.3988557292614
357,100202,50.58383952639031
358,59002,-35.60114427073859
359,96302,301.3988557292614
360,51002,-142.4161604736097
361,119702,81.39885572926141
362,50702,-167.6011442707386
363,96902,353.3988557292614
364,129402,-306.6011442707386
365,113102,-26.416160473609693
366,78302,377.3988557292614
367,91202,-306.4161604736097
368,106002,110.39885572926141
369,47002,-34.41616047360969
370,102002,-345.6011442707386
371,82802,-265.4161604736097
372,38802,-37.60114427073859
373,136702,95.5838395263903
375,82902,-142.4161604736097
376,88502,-275.4161604736097
377,125302,-133.6011442707386
378,82302,222.3988557292614
379,79802,-192.4161604736097
380,45602,-95.60114427073859
381,93102,-348.4161604736097
383,79502,42.58383952639031
384,110402,181.5838395263903
385,127802,230.3988557292614
387,134202,1.3988557292614132
388,53402,211.5838395263903
389,81002,119.5838395263903
390,62502,-363.6011442707386
391,63502,-35.41616047360969
392,48602,3.398855729261413
393,76302,-77.60114427073859
394,80002,-176.6011442707386
395,72002,-254.4161604736097
396,75402,-165.6011442707386
397,108002,-137.4161604736097
398,120802,144.5838395263903
399,78502,-362.6011442707386
400,111202,54.39885572926141
401,119202,458.3988557292614
402,60802,-48.41616047360969
403,55002,96.39885572926141
404,62202,21.398855729261413
405,146302,-112.4161604736097
406,87502,55.58383952639031
407,65702,44.58383952639031
408,67802,-12.416160473609693
409,68102,-43.41616047360969
411,70902,-211.4161604736097
412,71002,-35.60114427073859
413,105002,-112.4161604736097
414,69702,-179.6011442707386
415,37402,158.3988557292614
416,134002,112.5838395263903
417,78802,-358.4161604736097
418,73402,-112.4161604736097
419,89102,21.583839526390307
420,110202,-291.6011442707386
421,39302,-97.60114427073859
422,128702,-181.6011442707386
423,135902,-211.4161604736097
424,138602,180.5838395263903
425,111802,-0.4161604736096933
426,91402,109.39885572926141
427,80702,-175.6011442707386
428,53902,287.3988557292614
429,67202,127.39885572926141
430,71502,-16.416160473609693
431,89402,258.3988557292614
432,76902,-227.6011442707386
433,77102,-90.4161604736097
434,86902,138.5838395263903
435,46802,-4.601144270738587
436,106102,297.5838395263903
438,80802,155.3988557292614
439,126502,-29.601144270738587
440,130402,-286.4161604736097
441,90902,-207.4161604736097
442,56202,337.3988557292614
443,142202,69.5838395263903
444,118202,67.5838395263903
445,123702,-34.60114427073859
446,85902,-321.6011442707386
447,75102,-57.41616047360969
448,63602,146.3988557292614
449,97002,60.58383952639031
450,121702,-100.60114427073859
451,58002,-117.60114427073859
452,48202,-42.60114427073859
453,40402,-20.601144270738587
454,44702,1.5838395263903067
455,46202,-146.6011442707386
456,84602,54.58383952639031
457,49702,-26.416160473609693
459,88902,-52.60114427073859
460,99902,17.583839526390307
461,91502,-202.6011442707386
462,101402,-109.60114427073859
463,140802,80.5838395263903
464,103602,131.5838395263903
465,95902,318.5838395263903
466,73702,151.5838395263903
467,92002,396.5838395263903
468,105802,81.5838395263903
469,111302,168.3988557292614
470,144502,-212.6011442707386
471,62102,-147.6011442707386
472,100302,46.58383952639031
473,38102,-408.4161604736097
474,114602,-146.6011442707386
475,124802,-291.4161604736097
476,52602,149.5838395263903
477,89202,28.583839526390307
