,id,sex_gen_resid
262,63302,354.446343366732
263,58502,12.58765640484296
264,53202,-78.41234359515704
265,76402,-15.41234359515704
266,72302,-296.41234359515704
267,88402,-7.41234359515704
268,116402,2.58765640484296
269,103402,-49.41234359515704
270,44602,-27.41234359515704
273,59802,27.44634336673198
274,118502,35.58765640484296
275,46102,-22.41234359515704
276,98402,299.446343366732
277,130602,-345.41234359515704
278,123302,-60.41234359515704
279,79702,69.58765640484296
280,56902,143.58765640484296
281,90002,49.58765640484296
282,77602,43.44634336673198
283,108302,-91.55365663326802
284,41102,-12.55365663326802
285,72802,-401.553656633268
286,81102,119.58765640484296
287,57102,28.44634336673198
288,36802,3.58765640484296
289,36402,71.44634336673198
290,91302,-51.55365663326802
292,65502,-54.55365663326802
293,70302,-417.41234359515704
294,130902,-217.41234359515704
295,73902,181.58765640484296
296,66202,-24.41234359515704
297,116702,-214.41234359515704
298,122702,23.44634336673198
300,64002,112.44634336673198
301,119602,-90.41234359515704
302,77502,-3.41234359515704
303,44502,107.58765640484296
304,93802,184.58765640484296
305,53602,-134.55365663326802
306,84302,153.44634336673198
307,103102,132.44634336673198
308,50102,-77.55365663326802
309,133902,-260.553656633268
310,135202,27.58765640484296
311,81902,125.58765640484296
313,110302,-55.41234359515704
314,54602,217.44634336673198
315,60502,95.44634336673198
316,40502,22.58765640484296
317,122902,-69.55365663326802
318,54902,52.44634336673198
319,109402,-44.55365663326802
320,85702,-164.41234359515704
321,84502,96.58765640484296
322,50402,-141.55365663326802
323,119902,80.58765640484296
324,138702,144.44634336673198
325,68202,-263.553656633268
326,80402,-381.553656633268
327,55402,101.58765640484296
328,78202,33.58765640484296
329,78902,-98.41234359515704
330,83602,-197.55365663326802
331,79402,47.44634336673198
332,96602,220.58765640484296
333,67402,337.446343366732
334,120202,109.58765640484296
335,70002,196.44634336673198
336,97502,127.58765640484296
337,100402,32.44634336673198
338,141602,297.58765640484296
339,102802,-29.55365663326802
340,109002,194.44634336673198
341,87002,-13.41234359515704
342,120702,-7.5536566332680195
343,69102,120.58765640484296
344,46702,-151.41234359515704
345,89502,203.44634336673198
346,129002,204.44634336673198
347,60902,-10.55365663326802
348,136902,-61.55365663326802
349,109802,257.446343366732
350,111702,-256.41234359515704
351,44302,-230.41234359515704
352,37302,10.58765640484296
353,54202,133.58765640484296
354,123602,-79.55365663326802
355,61402,-83.41234359515704
356,51402,242.44634336673198
357,100202,50.58765640484296
358,59002,-35.55365663326802
359,96302,301.446343366732
360,51002,-142.41234359515704
361,119702,81.44634336673198
362,50702,-167.55365663326802
363,96902,353.446343366732
364,129402,-306.553656633268
